"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"Connecticut","2020-12-22","168960","5703","0.08682513","0.043358922"
"Delaware","2020-12-22","51623","872","0.095053196","0.05569005"
"District of Columbia","2020-12-22","26900","744","0.06160462","0.0333333"
"Florida","2020-12-22","1223007","20753","0.06926203","0.03346443"
"Georgia","2020-12-22","579957","10135","0.08507025","0.028307676"
"Guam","2020-12-22","8180","121","0.0076373816","0.008333325"
"Hawaii","2020-12-22","20487","280","0.04841101","0.029411793"
"Idaho","2020-12-22","132950","1317","0.069710135","0.08039379"
"Illinois","2020-12-22","913265","16677","0.05547917","0.06965554"
"Indiana","2020-12-22","474797","7581","0.08521807","0.087973595"
"Iowa","2020-12-22","270294","3653","0.04662478","0.09469581"
"Kansas","2020-12-22","208109","2448","0.07519305","0.16073966"
"Kentucky","2020-12-22","250089","2739","0.08129299","0.09603846"
"Louisiana","2020-12-22","290960","7158","0.068621516","0.038143635"
"Maine","2020-12-22","19743","303","0.17798328","0.14339626"
"Maryland","2020-12-22","255666","5519","0.06663501","0.060122967"
"Massachusetts","2020-12-22","331174","11804","0.11072576","0.031547666"
"Michigan","2020-12-22","503497","12333","0.055164337","0.07355499"
"Minnesota","2020-12-22","401070","4955","0.043846965","0.09092915"
"Mississippi","2020-12-22","197691","4490","0.07851064","0.05597365"
"Missouri","2020-12-22","393488","5474","0.06098914","0.10385156"
"Montana","2020-12-22","78017","901","0.052009225","0.090798974"
"Nebraska","2020-12-22","159267","1553","0.048492074","0.060792327"
"Nevada","2020-12-22","207351","2832","0.07934034","0.08547342"
"New Hampshire","2020-12-22","38008","656","0.16785991","0.08609271"
"New Jersey","2020-12-22","442274","18326","0.075354576","0.025402904"
"New Mexico","2020-12-22","132075","2203","0.07766187","0.09820533"
"New York","2020-12-22","871155","36300","0.08955526","0.024700046"
"North Carolina","2020-12-22","491242","6342","0.09823096","0.07019913"
"North Dakota","2020-12-22","90459","1244","0.023280263","0.05782318"
"Northern Mariana Islands","2020-12-22","116","2","0.026548624","0.0"
"Ohio","2020-12-22","637032","8252","0.09955001","0.07812905"
"Oklahoma","2020-12-22","265620","2240","0.09764409","0.07382548"
"Oregon","2020-12-22","105091","1382","0.09363842","0.13932395"
"Pennsylvania","2020-12-22","577183","14244","0.12072408","0.10162413"
"Puerto Rico","2020-12-22","103527","1391","0.06691468","0.074961305"
"Rhode Island","2020-12-22","81187","1678","0.07908344","0.06878984"
"South Carolina","2020-12-22","278055","4976","0.08058059","0.046257377"
"South Dakota","2020-12-22","95509","1381","0.041548967","0.09516251"
"Tennessee","2020-12-22","519475","6205","0.12818003","0.11660969"
"Texas","2020-12-22","1630886","26363","0.07786691","0.063195705"
"Utah","2020-12-22","255085","1175","0.0727458","0.08998144"
"Vermont","2020-12-22","6608","112","0.11565089","0.120000005"
"Virgin Islands","2020-12-22","1934","23","0.057986856","0.0"
"Virginia","2020-12-22","314481","4705","0.090777636","0.052572727"
"Washington","2020-12-22","232204","3214","0.08463466","0.029138684"
"West Virginia","2020-12-22","74737","1171","0.137411","0.15711462"
"Wisconsin","2020-12-22","497380","4882","0.04636681","0.106527686"
"Wyoming","2020-12-22","42379","373","0.05778253","0.13719511"
"Alabama","2020-12-23","334569","4587","0.094650626","0.09266317"
